,conformal_lower,conformal_upper,conformal_width
2010-01-10 02:00:00,210.74527,220.9477,10.202423
2010-01-10 03:00:00,203.26724,213.46967,10.202423
2010-01-10 04:00:00,184.92744,195.12987,10.202423
2010-01-10 05:00:00,202.95201,213.15443,10.202423
2010-01-10 06:00:00,217.02103,227.22345,10.202423
2010-01-10 07:00:00,229.98628,240.1887,10.202423
2010-01-10 08:00:00,251.6563,261.85873,10.202438
2010-01-10 09:00:00,203.55927,213.76169,10.202423
2010-01-10 10:00:00,214.92125,225.12367,10.202423
2010-01-10 11:00:00,227.72818,237.9306,10.202423
2010-01-10 12:00:00,225.60558,235.808,10.202423
2010-01-10 13:00:00,190.61404,200.81647,10.202423
2010-01-10 14:00:00,186.39076,196.59319,10.202423
2010-01-10 15:00:00,178.4222,188.62462,10.202423
2010-01-10 16:00:00,181.21945,191.42188,10.202423
2010-01-10 17:00:00,180.38255,190.58498,10.202423
2010-01-10 18:00:00,196.62053,206.82295,10.202423
2010-01-10 19:00:00,210.45377,220.65619,10.202423
2010-01-10 20:00:00,220.21793,230.42035,10.202423
2010-01-10 21:00:00,232.93184,243.13426,10.202423
2010-01-10 22:00:00,240.33641,250.53883,10.202423
2010-01-10 23:00:00,245.75824,255.96066,10.202423
2010-01-11 00:00:00,199.56879,209.77121,10.202423
2010-01-11 01:00:00,137.9452,148.14763,10.202423
2010-01-11 02:00:00,156.196,166.39842,10.202423
2010-01-11 03:00:00,163.74352,173.94594,10.202423
2010-01-11 04:00:00,184.98074,195.18317,10.202423
2010-01-11 05:00:00,218.56209,228.76451,10.202423
2010-01-11 06:00:00,230.24576,240.44818,10.202423
2010-01-11 07:00:00,187.11685,197.31927,10.202423
2010-01-11 08:00:00,197.70825,207.91068,10.202423
2010-01-11 09:00:00,156.8294,167.03183,10.202423
2010-01-11 10:00:00,175.64818,185.8506,10.202423
2010-01-11 11:00:00,165.93544,176.13786,10.202423
2010-01-11 12:00:00,179.23926,189.44168,10.202423
2010-01-11 13:00:00,146.31429,156.51671,10.202423
2010-01-11 14:00:00,118.04932,128.25174,10.202423
2010-01-11 15:00:00,175.24413,185.44655,10.202423
2010-01-11 16:00:00,162.00586,172.20828,10.202423
2010-01-11 17:00:00,176.74687,186.9493,10.202423
2010-01-11 18:00:00,166.59059,176.79301,10.202423
2010-01-11 19:00:00,171.79112,181.99355,10.202423
2010-01-11 20:00:00,150.3702,160.57262,10.202423
2010-01-11 21:00:00,160.42525,170.62767,10.202423
2010-01-11 22:00:00,170.3933,180.59572,10.202423
2010-01-11 23:00:00,228.26424,238.46666,10.202423
2010-01-12 00:00:00,198.81372,209.01614,10.202423
2010-01-12 01:00:00,168.64168,178.8441,10.202423
2010-01-12 02:00:00,180.9723,191.17473,10.202423
2010-01-12 03:00:00,179.4458,189.64822,10.202423
2010-01-12 04:00:00,167.87274,178.07516,10.202423
2010-01-12 05:00:00,169.86935,180.07178,10.202423
2010-01-12 06:00:00,191.18953,201.39195,10.202423
2010-01-12 07:00:00,187.61238,197.8148,10.202423
2010-01-12 08:00:00,193.54652,203.74895,10.202423
2010-01-12 09:00:00,190.29054,200.49297,10.202423
2010-01-12 10:00:00,185.8219,196.02432,10.202423
2010-01-12 11:00:00,148.02492,158.22734,10.202423
2010-01-12 12:00:00,169.38622,179.58864,10.202423
2010-01-12 13:00:00,147.12735,157.32977,10.202423
2010-01-12 14:00:00,149.27211,159.47453,10.202423
2010-01-12 15:00:00,142.94064,153.14307,10.202423
2010-01-12 16:00:00,140.84749,151.04991,10.202423
2010-01-12 17:00:00,138.0371,148.23952,10.202423
2010-01-12 18:00:00,179.81998,190.0224,10.202423
2010-01-12 19:00:00,194.39957,204.60199,10.202423
2010-01-12 20:00:00,210.38593,220.58835,10.202423
2010-01-12 21:00:00,210.99493,221.19736,10.202423
2010-01-12 22:00:00,186.63008,196.8325,10.202423
2010-01-12 23:00:00,177.7027,187.90512,10.202423
2010-01-13 00:00:00,207.48497,217.6874,10.202423
2010-01-13 01:00:00,168.6949,178.89732,10.202423
2010-01-13 02:00:00,187.43161,197.63403,10.202423
2010-01-13 03:00:00,204.32661,214.52904,10.202423
2010-01-13 04:00:00,181.03204,191.23447,10.202423
2010-01-13 05:00:00,204.83636,215.03879,10.202423
2010-01-13 06:00:00,195.12332,205.32574,10.202423
2010-01-13 07:00:00,209.93166,220.13408,10.202423
2010-01-13 08:00:00,231.68228,241.8847,10.202423
2010-01-13 09:00:00,229.78136,239.98378,10.202423
2010-01-13 10:00:00,177.87349,188.07591,10.202423
2010-01-13 11:00:00,179.63625,189.83867,10.202423
2010-01-13 12:00:00,166.62592,176.82834,10.202423
2010-01-13 13:00:00,164.49591,174.69833,10.202423
2010-01-13 14:00:00,158.34428,168.5467,10.202423
2010-01-13 15:00:00,139.37888,149.5813,10.202423
2010-01-13 16:00:00,144.93782,155.14024,10.202423
2010-01-13 17:00:00,150.56857,160.771,10.202423
2010-01-13 18:00:00,170.54425,180.74667,10.202423
2010-01-13 19:00:00,183.06073,193.26315,10.202423
2010-01-13 20:00:00,187.02974,197.23216,10.202423
2010-01-13 21:00:00,234.79291,244.99533,10.202423
2010-01-13 22:00:00,212.88333,223.08575,10.202423
2010-01-13 23:00:00,191.57574,201.77817,10.202423
2010-01-14 00:00:00,167.22583,177.42825,10.202423
2010-01-14 01:00:00,133.50696,143.70938,10.202423
2010-01-14 02:00:00,109.038605,119.24103,10.202423
2010-01-14 03:00:00,122.944016,133.14644,10.202423
2010-01-14 04:00:00,200.20778,210.4102,10.202423
2010-01-14 05:00:00,200.48549,210.68791,10.202423
2010-01-14 06:00:00,237.03506,247.23749,10.202423
2010-01-14 07:00:00,259.93,270.13245,10.202454
2010-01-14 08:00:00,203.84352,214.04594,10.202423
2010-01-14 09:00:00,148.82649,159.02892,10.202423
2010-01-14 10:00:00,188.70615,198.90857,10.202423
2010-01-14 11:00:00,165.78767,175.9901,10.202423
2010-01-14 12:00:00,145.08951,155.29193,10.202423
2010-01-14 13:00:00,154.76918,164.9716,10.202423
2010-01-14 14:00:00,122.24927,132.45169,10.202423
2010-01-14 15:00:00,142.94073,153.14316,10.202423
2010-01-14 16:00:00,159.1349,169.33733,10.202423
2010-01-14 17:00:00,167.84622,178.04865,10.202423
2010-01-14 18:00:00,177.99745,188.19987,10.202423
2010-01-14 19:00:00,179.91736,190.11978,10.202423
2010-01-14 20:00:00,182.24117,192.44359,10.202423
2010-01-14 21:00:00,190.62752,200.82994,10.202423
2010-01-14 22:00:00,157.68329,167.88571,10.202423
2010-01-14 23:00:00,154.00383,164.20625,10.202423
2010-01-15 00:00:00,167.16763,177.37006,10.202423
2010-01-15 01:00:00,159.77126,169.97368,10.202423
2010-01-15 02:00:00,160.34607,170.5485,10.202423
2010-01-15 03:00:00,167.98824,178.19066,10.202423
2010-01-15 04:00:00,118.090416,128.29285,10.202431
2010-01-15 05:00:00,143.16975,153.37218,10.202423
2010-01-15 06:00:00,167.48535,177.68777,10.202423
2010-01-15 07:00:00,236.28856,246.49098,10.202423
2010-01-15 08:00:00,234.847,245.04942,10.202423
2010-01-15 09:00:00,174.32811,184.53053,10.202423
2010-01-15 10:00:00,159.89641,170.09883,10.202423
2010-01-15 11:00:00,124.81073,135.01315,10.202423
2010-01-15 12:00:00,155.49336,165.69579,10.202423
2010-01-15 13:00:00,147.75645,157.95888,10.202423
2010-01-15 14:00:00,139.581,149.78342,10.202423
2010-01-15 15:00:00,129.60359,139.80602,10.202423
2010-01-15 16:00:00,117.85611,128.05853,10.202423
2010-01-15 17:00:00,124.61925,134.82167,10.202423
2010-01-15 18:00:00,147.71011,157.91254,10.202423
2010-01-15 19:00:00,167.1481,177.35052,10.202423
2010-01-15 20:00:00,164.4233,174.62572,10.202423
2010-01-15 21:00:00,160.2577,170.46013,10.202423
2010-01-15 22:00:00,155.88489,166.08731,10.202423
2010-01-15 23:00:00,148.39268,158.59511,10.202423
2010-01-16 00:00:00,139.1228,149.32523,10.202423
2010-01-16 01:00:00,146.52907,156.73149,10.202423
2010-01-16 02:00:00,137.823,148.02542,10.202423
2010-01-16 03:00:00,145.1087,155.31113,10.202423
2010-01-16 04:00:00,139.38109,149.58351,10.202423
2010-01-16 05:00:00,135.30182,145.50424,10.202423
2010-01-16 06:00:00,124.82759,135.03001,10.202423
2010-01-16 07:00:00,149.20357,159.40599,10.202423
2010-01-16 08:00:00,161.78607,171.9885,10.202423
2010-01-16 09:00:00,176.54927,186.7517,10.202423
2010-01-16 10:00:00,187.95117,198.1536,10.202423
2010-01-16 11:00:00,186.34344,196.54587,10.202423
2010-01-16 12:00:00,146.54858,156.751,10.202423
2010-01-16 13:00:00,134.9073,145.10973,10.202423
2010-01-16 14:00:00,125.47069,135.67311,10.202423
2010-01-16 15:00:00,124.1382,134.34062,10.202423
2010-01-16 16:00:00,120.479965,130.68239,10.202423
2010-01-16 17:00:00,124.78529,134.98772,10.202423
2010-01-16 18:00:00,140.16705,150.36948,10.202423
2010-01-16 19:00:00,153.53433,163.73676,10.202423
2010-01-16 20:00:00,160.56174,170.76416,10.202423
2010-01-16 21:00:00,163.36734,173.56976,10.202423
2010-01-16 22:00:00,158.97542,169.17784,10.202423
2010-01-16 23:00:00,149.39229,159.59471,10.202423
2010-01-17 00:00:00,142.63173,152.83415,10.202423
2010-01-17 01:00:00,130.8022,141.00462,10.202423
2010-01-17 02:00:00,126.87082,137.07324,10.202423
2010-01-17 03:00:00,126.13016,136.33258,10.202423
2010-01-17 04:00:00,127.57172,137.77414,10.202423
2010-01-17 05:00:00,136.52501,146.72743,10.202423
2010-01-17 06:00:00,151.00699,161.20941,10.202423
2010-01-17 07:00:00,166.16652,176.36894,10.202423
2010-01-17 08:00:00,177.44661,187.64903,10.202423
2010-01-17 09:00:00,186.74788,196.9503,10.202423
2010-01-17 10:00:00,139.09615,149.29857,10.202423
2010-01-17 11:00:00,160.97438,171.1768,10.202423
2010-01-17 12:00:00,136.87477,147.0772,10.202423
2010-01-17 13:00:00,129.64955,139.85197,10.202423
2010-01-17 14:00:00,121.68708,131.88951,10.202431
2010-01-17 15:00:00,111.85584,122.058266,10.202423
2010-01-17 16:00:00,110.30258,120.505005,10.202423
2010-01-17 17:00:00,114.50833,124.710754,10.202423
2010-01-17 18:00:00,143.19319,153.39561,10.202423
2010-01-17 19:00:00,142.67769,152.88011,10.202423
2010-01-17 20:00:00,157.98979,168.19221,10.202423
2010-01-17 21:00:00,147.67854,157.88097,10.202423
2010-01-17 22:00:00,128.39401,138.59644,10.202423
2010-01-17 23:00:00,126.54251,136.74493,10.202423
2010-01-18 00:00:00,143.58089,153.78331,10.202423
2010-01-18 01:00:00,136.69255,146.89497,10.202423
2010-01-18 02:00:00,132.12224,142.32466,10.202423
2010-01-18 03:00:00,137.37537,147.57779,10.202423
2010-01-18 04:00:00,127.28162,137.48404,10.202423
2010-01-18 05:00:00,135.02069,145.22311,10.202423
2010-01-18 06:00:00,136.66309,146.86551,10.202423
2010-01-18 07:00:00,159.3951,169.59752,10.202423
2010-01-18 08:00:00,154.53299,164.73541,10.202423
2010-01-18 09:00:00,144.24484,154.44727,10.202423
2010-01-18 10:00:00,146.3847,156.58713,10.202423
2010-01-18 11:00:00,145.23105,155.43347,10.202423
2010-01-18 12:00:00,131.63814,141.84056,10.202423
2010-01-18 13:00:00,122.535736,132.73816,10.202423
2010-01-18 14:00:00,118.3146,128.51703,10.202431
2010-01-18 15:00:00,114.45294,124.655365,10.202423
2010-01-18 16:00:00,112.79922,123.00164,10.202423
2010-01-18 17:00:00,116.816414,127.01884,10.202423
2010-01-18 18:00:00,129.60635,139.80878,10.202423
2010-01-18 19:00:00,148.19037,158.39279,10.202423
2010-01-18 20:00:00,160.48402,170.68645,10.202423
2010-01-18 21:00:00,160.5285,170.73093,10.202423
2010-01-18 22:00:00,155.3222,165.52463,10.202423
2010-01-18 23:00:00,143.65569,153.85811,10.202423
2010-01-19 00:00:00,129.39993,139.60236,10.202423
2010-01-19 01:00:00,115.66238,125.8648,10.202423
2010-01-19 02:00:00,116.23434,126.43676,10.202423
2010-01-19 03:00:00,124.51546,134.71788,10.202423
2010-01-19 04:00:00,128.90036,139.10278,10.202423
2010-01-19 05:00:00,131.98395,142.18637,10.202423
2010-01-19 06:00:00,156.63232,166.83475,10.202423
2010-01-19 07:00:00,174.76027,184.96269,10.202423
2010-01-19 08:00:00,177.79613,187.99855,10.202423
2010-01-19 09:00:00,157.1542,167.35663,10.202423
2010-01-19 10:00:00,135.31357,145.51599,10.202423
2010-01-19 11:00:00,122.81773,133.02016,10.202423
2010-01-19 12:00:00,117.05868,127.2611,10.202423
2010-01-19 13:00:00,112.09815,122.300575,10.202423
2010-01-19 14:00:00,107.574524,117.77695,10.202423
2010-01-19 15:00:00,105.94607,116.14849,10.202423
2010-01-19 16:00:00,107.38496,117.58738,10.202423
2010-01-19 17:00:00,109.59266,119.79508,10.202423
2010-01-19 18:00:00,124.42839,134.63081,10.202423
2010-01-19 19:00:00,146.31572,156.51814,10.202423
2010-01-19 20:00:00,146.5293,156.73172,10.202423
2010-01-19 21:00:00,141.51353,151.71596,10.202423
2010-01-19 22:00:00,137.33472,147.53714,10.202423
2010-01-19 23:00:00,131.21315,141.41557,10.202423
2010-01-20 00:00:00,118.272934,128.47536,10.202423
2010-01-20 01:00:00,116.83723,127.03965,10.202423
2010-01-20 02:00:00,112.09479,122.29721,10.202423
2010-01-20 03:00:00,112.461426,122.66385,10.202423
2010-01-20 04:00:00,117.00741,127.20983,10.202423
2010-01-20 05:00:00,125.96382,136.16624,10.202423
2010-01-20 06:00:00,141.39851,151.60094,10.202423
2010-01-20 07:00:00,170.52675,180.72917,10.202423
2010-01-20 08:00:00,157.74039,167.94281,10.202423
2010-01-20 09:00:00,159.01369,169.21611,10.202423
2010-01-20 10:00:00,144.27625,154.47867,10.202423
2010-01-20 11:00:00,135.12375,145.32617,10.202423
2010-01-20 12:00:00,118.63386,128.83629,10.202431
2010-01-20 13:00:00,112.39697,122.599396,10.202423
2010-01-20 14:00:00,107.8237,118.02612,10.202423
2010-01-20 15:00:00,105.6066,115.80902,10.202423
2010-01-20 16:00:00,108.3736,118.57602,10.202423
2010-01-20 17:00:00,121.37492,131.57735,10.202423
2010-01-20 18:00:00,145.65631,155.85873,10.202423
2010-01-20 19:00:00,158.16017,168.3626,10.202423
2010-01-20 20:00:00,163.25937,173.46179,10.202423
2010-01-20 21:00:00,163.48747,173.6899,10.202423
2010-01-20 22:00:00,156.60263,166.80505,10.202423
2010-01-20 23:00:00,148.3492,158.55162,10.202423
2010-01-21 00:00:00,143.20131,153.40373,10.202423
2010-01-21 01:00:00,106.76441,116.966835,10.202423
2010-01-21 02:00:00,107.80548,118.007904,10.202423
2010-01-21 03:00:00,105.25102,115.453445,10.202423
2010-01-21 04:00:00,120.885315,131.08774,10.202423
2010-01-21 05:00:00,144.03284,154.23526,10.202423
2010-01-21 06:00:00,130.24352,140.44594,10.202423
2010-01-21 07:00:00,106.05978,116.2622,10.202423
2010-01-21 08:00:00,167.06624,177.26866,10.202423
2010-01-21 09:00:00,138.9656,149.16803,10.202423
2010-01-21 10:00:00,148.6774,158.87982,10.202423
2010-01-21 11:00:00,151.2938,161.49622,10.202423
2010-01-21 12:00:00,156.29048,166.4929,10.202423
2010-01-21 13:00:00,129.01343,139.21585,10.202423
2010-01-21 14:00:00,113.802475,124.0049,10.202423
2010-01-21 15:00:00,115.196846,125.39927,10.202423
2010-01-21 16:00:00,116.518036,126.72046,10.202423
2010-01-21 17:00:00,148.42966,158.63208,10.202423
2010-01-21 18:00:00,174.01004,184.21246,10.202423
2010-01-21 19:00:00,182.33742,192.53984,10.202423
2010-01-21 20:00:00,188.36987,198.5723,10.202423
2010-01-21 21:00:00,201.4132,211.61562,10.202423
2010-01-21 22:00:00,177.2695,187.47192,10.202423
2010-01-21 23:00:00,159.13129,169.33371,10.202423
2010-01-22 00:00:00,154.1382,164.34062,10.202423
2010-01-22 01:00:00,136.12355,146.32597,10.202423
2010-01-22 02:00:00,133.32878,143.5312,10.202423
2010-01-22 03:00:00,131.45204,141.65446,10.202423
2010-01-22 04:00:00,143.86438,154.0668,10.202423
2010-01-22 05:00:00,144.53134,154.73376,10.202423
2010-01-22 06:00:00,152.29906,162.50148,10.202423
2010-01-22 07:00:00,204.86201,215.06444,10.202423
2010-01-22 08:00:00,203.65005,213.85248,10.202423
2010-01-22 09:00:00,171.39023,181.59265,10.202423
2010-01-22 10:00:00,148.4697,158.67212,10.202423
2010-01-22 11:00:00,142.15378,152.3562,10.202423
2010-01-22 12:00:00,153.66306,163.86548,10.202423
2010-01-22 13:00:00,140.22273,150.42516,10.202423
2010-01-22 14:00:00,131.29486,141.49728,10.202423
2010-01-22 15:00:00,124.941284,135.1437,10.202423
2010-01-22 16:00:00,123.43674,133.63916,10.202423
2010-01-22 17:00:00,152.19847,162.4009,10.202423
2010-01-22 18:00:00,174.01271,184.21513,10.202423
2010-01-22 19:00:00,192.16098,202.3634,10.202423
2010-01-22 20:00:00,203.1116,213.31403,10.202423
2010-01-22 21:00:00,199.20528,209.4077,10.202423
2010-01-22 22:00:00,179.31651,189.51894,10.202423
2010-01-22 23:00:00,162.36845,172.57088,10.202423
2010-01-23 00:00:00,154.72151,164.92393,10.202423
2010-01-23 01:00:00,148.18147,158.3839,10.202423
2010-01-23 02:00:00,147.75243,157.95485,10.202423
2010-01-23 03:00:00,148.52838,158.7308,10.202423
2010-01-23 04:00:00,157.36107,167.56349,10.202423
2010-01-23 05:00:00,156.49149,166.69391,10.202423
2010-01-23 06:00:00,177.58098,187.7834,10.202423
2010-01-23 07:00:00,193.38077,203.58319,10.202423
2010-01-23 08:00:00,191.73933,201.94176,10.202423
2010-01-23 09:00:00,188.81342,199.01584,10.202423
2010-01-23 10:00:00,169.41092,179.61334,10.202423
2010-01-23 11:00:00,150.9271,161.12952,10.202423
2010-01-23 12:00:00,139.79915,150.00157,10.202423
2010-01-23 13:00:00,128.92113,139.12355,10.202423
2010-01-23 14:00:00,121.866455,132.06888,10.202423
2010-01-23 15:00:00,128.46161,138.66403,10.202423
2010-01-23 16:00:00,127.98422,138.18665,10.202423
2010-01-23 17:00:00,137.20125,147.40367,10.202423
2010-01-23 18:00:00,157.04799,167.25041,10.202423
2010-01-23 19:00:00,170.2978,180.50023,10.202423
2010-01-23 20:00:00,178.29529,188.49771,10.202423
2010-01-23 21:00:00,175.47386,185.67628,10.202423
2010-01-23 22:00:00,182.53944,192.74187,10.202423
2010-01-23 23:00:00,167.93219,178.13461,10.202423
2010-01-24 00:00:00,165.84866,176.05109,10.202423
2010-01-24 01:00:00,154.44304,164.64546,10.202423
2010-01-24 02:00:00,144.32405,154.52647,10.202423
2010-01-24 03:00:00,152.6245,162.82692,10.202423
2010-01-24 04:00:00,145.80894,156.01137,10.202423
2010-01-24 05:00:00,145.56868,155.7711,10.202423
2010-01-24 06:00:00,171.42064,181.62306,10.202423
2010-01-24 07:00:00,156.69423,166.89665,10.202423
2010-01-24 08:00:00,157.94547,168.14789,10.202423
2010-01-24 09:00:00,195.18733,205.38976,10.202423
2010-01-24 10:00:00,191.6786,201.88103,10.202423
2010-01-24 11:00:00,139.5422,149.74463,10.202423
2010-01-24 12:00:00,155.46315,165.66557,10.202423
2010-01-24 13:00:00,141.83514,152.03757,10.202423
2010-01-24 14:00:00,145.97261,156.17503,10.202423
2010-01-24 15:00:00,134.4876,144.69002,10.202423
2010-01-24 16:00:00,124.53659,134.73901,10.202423
2010-01-24 17:00:00,131.03387,141.2363,10.202423
2010-01-24 18:00:00,150.85965,161.06207,10.202423
2010-01-24 19:00:00,176.0272,186.22963,10.202423
2010-01-24 20:00:00,164.15967,174.36209,10.202423
2010-01-24 21:00:00,198.25685,208.45927,10.202423
2010-01-24 22:00:00,176.13466,186.33708,10.202423
2010-01-24 23:00:00,173.53941,183.74184,10.202423
2010-01-25 00:00:00,175.40205,185.60448,10.202423
2010-01-25 01:00:00,144.73409,154.93651,10.202423
2010-01-25 02:00:00,127.58298,137.7854,10.202423
2010-01-25 03:00:00,126.45143,136.65385,10.202423
2010-01-25 04:00:00,123.49046,133.69289,10.202423
2010-01-25 05:00:00,204.00642,214.20885,10.202423
2010-01-25 06:00:00,182.47618,192.6786,10.202423
2010-01-25 07:00:00,174.87523,185.07765,10.202423
2010-01-25 08:00:00,169.90094,180.10336,10.202423
2010-01-25 09:00:00,151.50465,161.70708,10.202423
2010-01-25 10:00:00,167.59273,177.79515,10.202423
2010-01-25 11:00:00,142.8144,153.01683,10.202423
2010-01-25 12:00:00,171.92892,182.13135,10.202423
2010-01-25 13:00:00,157.71083,167.91325,10.202423
2010-01-25 14:00:00,144.97739,155.17981,10.202423
2010-01-25 15:00:00,149.23209,159.43451,10.202423
2010-01-25 16:00:00,143.10194,153.30437,10.202423
2010-01-25 17:00:00,153.7248,163.92722,10.202423
2010-01-25 18:00:00,144.51324,154.71567,10.202423
2010-01-25 19:00:00,159.2818,169.48422,10.202423
2010-01-25 20:00:00,149.21632,159.41875,10.202423
2010-01-25 21:00:00,156.07527,166.2777,10.202423
2010-01-25 22:00:00,184.1542,194.35663,10.202423
2010-01-25 23:00:00,166.61913,176.82155,10.202423
2010-01-26 00:00:00,176.36903,186.57146,10.202423
2010-01-26 01:00:00,174.04883,184.25125,10.202423
2010-01-26 02:00:00,144.3362,154.53862,10.202423
2010-01-26 03:00:00,133.5406,143.74303,10.202423
2010-01-26 04:00:00,130.77344,140.97586,10.202423
2010-01-26 05:00:00,131.61336,141.81578,10.202423
2010-01-26 06:00:00,176.17389,186.37631,10.202423
2010-01-26 07:00:00,191.7495,201.95192,10.202423
2010-01-26 08:00:00,165.92036,176.12279,10.202423
2010-01-26 09:00:00,160.235,170.43742,10.202423
2010-01-26 10:00:00,154.7362,164.93863,10.202423
2010-01-26 11:00:00,153.4934,163.69582,10.202423
2010-01-26 12:00:00,153.53023,163.73265,10.202423
2010-01-26 13:00:00,155.05234,165.25476,10.202423
2010-01-26 14:00:00,154.72629,164.92871,10.202423
2010-01-26 15:00:00,154.51576,164.71819,10.202423
2010-01-26 16:00:00,145.8777,156.08012,10.202423
2010-01-26 17:00:00,178.05835,188.26077,10.202423
2010-01-26 18:00:00,177.32321,187.52563,10.202423
2010-01-26 19:00:00,212.51784,222.72026,10.202423
2010-01-26 20:00:00,215.85211,226.05453,10.202423
2010-01-26 21:00:00,203.59137,213.7938,10.202423
2010-01-26 22:00:00,191.43518,201.6376,10.202423
2010-01-26 23:00:00,177.88857,188.09099,10.202423
2010-01-27 00:00:00,145.46666,155.66908,10.202423
2010-01-27 01:00:00,140.06506,150.26749,10.202423
2010-01-27 02:00:00,142.60109,152.80351,10.202423
2010-01-27 03:00:00,179.7576,189.96002,10.202423
2010-01-27 04:00:00,207.40578,217.6082,10.202423
2010-01-27 05:00:00,192.31003,202.51245,10.202423
2010-01-27 06:00:00,210.3868,220.58922,10.202423
2010-01-27 07:00:00,217.41275,227.61517,10.202423
2010-01-27 08:00:00,189.51094,199.71336,10.202423
2010-01-27 09:00:00,214.94652,225.14894,10.202423
2010-01-27 10:00:00,170.39804,180.60046,10.202423
2010-01-27 11:00:00,155.59676,165.79918,10.202423
2010-01-27 12:00:00,153.7959,163.99832,10.202423
2010-01-27 13:00:00,165.87408,176.0765,10.202423
2010-01-27 14:00:00,151.95842,162.16084,10.202423
2010-01-27 15:00:00,148.722,158.92442,10.202423
2010-01-27 16:00:00,154.43733,164.63976,10.202423
2010-01-27 17:00:00,176.33519,186.53761,10.202423
2010-01-27 18:00:00,181.35934,191.56177,10.202423
2010-01-27 19:00:00,225.31972,235.52214,10.202423
2010-01-27 20:00:00,207.98073,218.18315,10.202423
2010-01-27 21:00:00,224.28397,234.48639,10.202423
2010-01-27 22:00:00,214.14996,224.35239,10.202423
2010-01-27 23:00:00,209.83893,220.04135,10.202423
2010-01-28 00:00:00,179.21399,189.41641,10.202423
2010-01-28 01:00:00,201.69759,211.90001,10.202423
2010-01-28 02:00:00,143.3232,153.52562,10.202423
2010-01-28 03:00:00,191.96861,202.17104,10.202423
2010-01-28 04:00:00,197.3042,207.50662,10.202423
2010-01-28 05:00:00,189.78915,199.99158,10.202423
2010-01-28 06:00:00,232.2776,242.48003,10.202423
2010-01-28 07:00:00,241.87593,252.07835,10.202423
2010-01-28 08:00:00,262.8234,273.02585,10.202454
2010-01-28 09:00:00,184.3697,194.57213,10.202423
2010-01-28 10:00:00,189.56998,199.7724,10.202423
2010-01-28 11:00:00,193.38338,203.5858,10.202423
2010-01-28 12:00:00,195.81764,206.02007,10.202423
2010-01-28 13:00:00,159.24428,169.4467,10.202423
2010-01-28 14:00:00,151.913,162.11542,10.202423
2010-01-28 15:00:00,149.5968,159.79922,10.202423
2010-01-28 16:00:00,142.04918,152.2516,10.202423
2010-01-28 17:00:00,172.2199,182.42232,10.202423
