,total_load,temperature_F
2005-01-10 00:00:00,119.3,41.96
2005-01-10 01:00:00,113.4,41.44
2005-01-10 02:00:00,112.8,40.64
2005-01-10 03:00:00,114.2,40.44
2005-01-10 04:00:00,117.8,40.2
2005-01-10 05:00:00,124.0,40.88
2005-01-10 06:00:00,137.5,42.36
2005-01-10 07:00:00,163.6,43.08
2005-01-10 08:00:00,162.4,44.56
2005-01-10 09:00:00,147.1,46.76
2005-01-10 10:00:00,135.9,49.16
2005-01-10 11:00:00,127.0,52.08
2005-01-10 12:00:00,119.3,56.28
2005-01-10 13:00:00,106.9,58.76
2005-01-10 14:00:00,98.1,60.4
2005-01-10 15:00:00,91.9,61.24
2005-01-10 16:00:00,91.3,61.12
2005-01-10 17:00:00,97.7,58.6
2005-01-10 18:00:00,120.2,54.84
2005-01-10 19:00:00,138.7,51.6
2005-01-10 20:00:00,141.7,49.96
2005-01-10 21:00:00,142.7,48.0
2005-01-10 22:00:00,137.9,47.16
2005-01-10 23:00:00,126.8,46.28
2005-01-11 00:00:00,115.3,45.44
2005-01-11 01:00:00,106.7,44.48
2005-01-11 02:00:00,104.4,44.44
2005-01-11 03:00:00,97.5,43.92
2005-01-11 04:00:00,109.8,42.76
2005-01-11 05:00:00,118.0,42.12
2005-01-11 06:00:00,124.4,42.88
2005-01-11 07:00:00,162.5,42.12
2005-01-11 08:00:00,138.8,49.0
2005-01-11 09:00:00,147.3,46.2
2005-01-11 10:00:00,110.1,61.6
2005-01-11 11:00:00,102.0,65.12
2005-01-11 12:00:00,100.3,67.48
2005-01-11 13:00:00,100.1,60.52
2005-01-11 14:00:00,96.0,70.16
2005-01-11 15:00:00,94.8,69.92
2005-01-11 16:00:00,95.7,69.0
2005-01-11 17:00:00,102.5,66.12
2005-01-11 18:00:00,120.0,62.2
2005-01-11 19:00:00,133.0,60.12
2005-01-11 20:00:00,131.8,58.28
2005-01-11 21:00:00,127.4,57.48
2005-01-11 22:00:00,119.2,56.8
2005-01-11 23:00:00,123.0,49.6
2005-01-12 00:00:00,95.0,55.92
2005-01-12 01:00:00,102.9,49.24
2005-01-12 02:00:00,100.7,49.2
2005-01-12 03:00:00,82.0,56.56
2005-01-12 04:00:00,82.7,55.44
2005-01-12 05:00:00,87.4,55.44
2005-01-12 06:00:00,100.2,55.16
2005-01-12 07:00:00,122.0,54.36
2005-01-12 08:00:00,120.5,54.72
2005-01-12 09:00:00,127.3,53.52
2005-01-12 10:00:00,106.1,59.32
2005-01-12 11:00:00,99.1,62.64
2005-01-12 12:00:00,92.8,65.12
2005-01-12 13:00:00,88.4,67.24
2005-01-12 14:00:00,86.0,68.56
2005-01-12 15:00:00,95.6,65.48
2005-01-12 16:00:00,96.7,65.04
2005-01-12 17:00:00,90.2,66.0
2005-01-12 18:00:00,106.5,64.28
2005-01-12 19:00:00,118.6,63.12
2005-01-12 20:00:00,116.6,62.04
2005-01-12 21:00:00,112.0,61.36
2005-01-12 22:00:00,134.6,44.8
2005-01-12 23:00:00,93.7,60.44
2005-01-13 00:00:00,115.6,42.12
2005-01-13 01:00:00,72.9,59.68
2005-01-13 02:00:00,109.1,40.36
2005-01-13 03:00:00,112.3,39.48
2005-01-13 04:00:00,115.6,38.68
2005-01-13 05:00:00,123.5,38.24
2005-01-13 06:00:00,141.9,38.08
2005-01-13 07:00:00,166.6,38.04
2005-01-13 08:00:00,156.1,44.56
2005-01-13 09:00:00,133.0,53.68
2005-01-13 10:00:00,116.1,60.48
2005-01-13 11:00:00,106.4,64.28
2005-01-13 12:00:00,100.5,66.24
2005-01-13 13:00:00,95.7,67.92
2005-01-13 14:00:00,94.0,68.92
2005-01-13 15:00:00,94.3,69.04
2005-01-13 16:00:00,94.1,67.92
2005-01-13 17:00:00,99.9,63.32
2005-01-13 18:00:00,104.4,68.6
2005-01-13 19:00:00,116.9,68.28
2005-01-13 20:00:00,115.0,68.52
2005-01-13 21:00:00,111.9,68.64
2005-01-13 22:00:00,104.6,68.28
2005-01-13 23:00:00,120.6,48.08
2005-01-14 00:00:00,81.0,68.08
2005-01-14 01:00:00,71.9,67.92
2005-01-14 02:00:00,67.8,67.4
2005-01-14 03:00:00,99.6,46.84
2005-01-14 04:00:00,64.8,65.68
2005-01-14 05:00:00,66.7,64.6
2005-01-14 06:00:00,125.6,44.8
2005-01-14 07:00:00,94.8,61.68
2005-01-14 08:00:00,141.0,51.2
2005-01-14 09:00:00,92.8,59.68
2005-01-14 10:00:00,91.8,57.08
2005-01-14 11:00:00,93.5,54.32
2005-01-14 12:00:00,98.6,70.52
2005-01-14 13:00:00,95.8,72.0
2005-01-14 14:00:00,103.5,49.48
2005-01-14 15:00:00,94.2,73.52
2005-01-14 16:00:00,116.5,47.72
2005-01-14 17:00:00,128.5,47.24
2005-01-14 18:00:00,146.9,45.32
2005-01-14 19:00:00,121.7,62.16
2005-01-14 20:00:00,119.6,61.44
2005-01-14 21:00:00,151.3,42.84
2005-01-14 22:00:00,111.1,59.96
2005-01-14 23:00:00,105.8,59.04
2005-01-15 00:00:00,97.3,57.76
2005-01-15 01:00:00,130.9,38.96
2005-01-15 02:00:00,128.8,37.96
2005-01-15 03:00:00,85.1,55.96
2005-01-15 04:00:00,85.3,55.0
2005-01-15 05:00:00,87.9,54.08
2005-01-15 06:00:00,149.1,35.68
2005-01-15 07:00:00,98.9,52.8
2005-01-15 08:00:00,171.6,35.4
2005-01-15 09:00:00,182.2,36.4
2005-01-15 10:00:00,111.5,66.64
2005-01-15 11:00:00,177.8,40.12
2005-01-15 12:00:00,169.5,41.52
2005-01-15 13:00:00,161.2,42.72
2005-01-15 14:00:00,152.8,43.28
2005-01-15 15:00:00,149.1,43.12
2005-01-15 16:00:00,104.0,72.96
2005-01-15 17:00:00,161.9,41.32
2005-01-15 18:00:00,177.8,40.04
2005-01-15 19:00:00,187.9,39.2
2005-01-15 20:00:00,118.4,62.76
2005-01-15 21:00:00,184.0,38.04
2005-01-15 22:00:00,177.8,37.56
2005-01-15 23:00:00,171.2,37.2
2005-01-16 00:00:00,162.1,37.04
2005-01-16 01:00:00,83.3,57.52
2005-01-16 02:00:00,150.8,36.68
2005-01-16 03:00:00,148.7,36.32
2005-01-16 04:00:00,149.0,35.8
2005-01-16 05:00:00,150.4,35.56
2005-01-16 06:00:00,153.8,35.52
2005-01-16 07:00:00,159.9,35.36
2005-01-16 08:00:00,101.5,58.88
2005-01-16 09:00:00,114.8,64.04
2005-01-16 10:00:00,195.8,36.92
2005-01-16 11:00:00,111.6,71.6
2005-01-16 12:00:00,107.0,73.68
2005-01-16 13:00:00,108.1,74.96
2005-01-16 14:00:00,176.8,40.72
2005-01-16 15:00:00,108.5,75.68
2005-01-16 16:00:00,106.5,74.48
2005-01-16 17:00:00,170.2,41.0
2005-01-16 18:00:00,178.3,39.44
2005-01-16 19:00:00,182.8,36.96
2005-01-16 20:00:00,180.1,36.24
2005-01-16 21:00:00,116.9,65.04
2005-01-16 22:00:00,109.2,64.2
2005-01-16 23:00:00,97.8,63.4
2005-01-17 00:00:00,149.7,33.64
2005-01-17 01:00:00,144.4,32.4
2005-01-17 02:00:00,74.8,59.56
2005-01-17 03:00:00,73.4,58.44
2005-01-17 04:00:00,73.8,57.0
2005-01-17 05:00:00,157.7,29.24
2005-01-17 06:00:00,170.9,28.36
2005-01-17 07:00:00,107.6,54.8
2005-01-17 08:00:00,109.1,57.52
2005-01-17 09:00:00,102.6,62.84
2005-01-17 10:00:00,100.9,67.28
2005-01-17 11:00:00,196.5,30.52
2005-01-17 12:00:00,187.9,31.76
2005-01-17 13:00:00,100.8,73.56
2005-01-17 14:00:00,168.2,33.28
2005-01-17 15:00:00,163.0,33.04
2005-01-17 16:00:00,163.5,32.76
2005-01-17 17:00:00,104.9,68.2
2005-01-17 18:00:00,118.7,61.92
2005-01-17 19:00:00,231.7,27.8
2005-01-17 20:00:00,236.2,27.04
2005-01-17 21:00:00,235.6,26.2
2005-01-17 22:00:00,115.9,53.44
2005-01-17 23:00:00,219.6,24.08
2005-01-18 00:00:00,211.3,23.24
2005-01-18 01:00:00,85.7,49.64
2005-01-18 02:00:00,212.4,21.36
2005-01-18 03:00:00,219.0,20.36
2005-01-18 04:00:00,87.1,47.08
2005-01-18 05:00:00,93.9,46.56
2005-01-18 06:00:00,252.2,17.92
2005-01-18 07:00:00,134.0,46.2
2005-01-18 08:00:00,267.7,17.72
2005-01-18 09:00:00,252.7,19.6
2005-01-18 10:00:00,106.8,64.28
2005-01-18 11:00:00,100.0,69.64
2005-01-18 12:00:00,97.9,73.08
2005-01-18 13:00:00,95.8,74.84
2005-01-18 14:00:00,96.7,75.96
2005-01-18 15:00:00,182.3,29.44
2005-01-18 16:00:00,99.0,74.4
2005-01-18 17:00:00,102.4,70.32
2005-01-18 18:00:00,118.5,65.84
2005-01-18 19:00:00,251.0,24.32
2005-01-18 20:00:00,254.2,22.88
2005-01-18 21:00:00,120.9,61.52
2005-01-18 22:00:00,112.4,60.52
2005-01-18 23:00:00,238.4,19.48
2005-01-19 00:00:00,88.3,59.12
2005-01-19 01:00:00,226.8,17.8
2005-01-19 02:00:00,77.1,58.44
2005-01-19 03:00:00,228.6,16.44
2005-01-19 04:00:00,76.3,57.64
2005-01-19 05:00:00,80.2,57.0
2005-01-19 06:00:00,91.7,56.64
2005-01-19 07:00:00,111.3,56.68
2005-01-19 08:00:00,259.0,19.64
2005-01-19 09:00:00,243.7,23.24
2005-01-19 10:00:00,224.9,25.76
2005-01-19 11:00:00,215.4,27.56
2005-01-19 12:00:00,209.5,28.96
2005-01-19 13:00:00,205.0,30.32
2005-01-19 14:00:00,202.6,31.6
2005-01-19 15:00:00,103.7,79.04
2005-01-19 16:00:00,104.9,78.08
2005-01-19 17:00:00,108.5,75.28
2005-01-19 18:00:00,123.7,72.08
2005-01-19 19:00:00,241.7,31.44
2005-01-19 20:00:00,126.9,69.96
2005-01-19 21:00:00,122.2,69.48
2005-01-19 22:00:00,216.2,31.24
2005-01-19 23:00:00,196.9,30.48
2005-01-20 00:00:00,186.3,29.52
2005-01-20 01:00:00,183.1,28.84
2005-01-20 02:00:00,185.8,28.4
2005-01-20 03:00:00,190.9,28.52
2005-01-20 04:00:00,191.5,28.88
2005-01-20 05:00:00,193.5,28.68
2005-01-20 06:00:00,199.3,28.68
2005-01-20 07:00:00,211.7,27.96
2005-01-20 08:00:00,216.1,29.04
2005-01-20 09:00:00,209.3,32.8
2005-01-20 10:00:00,196.2,36.72
2005-01-20 11:00:00,181.3,40.56
2005-01-20 12:00:00,169.4,41.68
2005-01-20 13:00:00,154.1,42.2
2005-01-20 14:00:00,141.2,42.84
2005-01-20 15:00:00,133.5,42.8
2005-01-20 16:00:00,134.8,42.12
2005-01-20 17:00:00,146.9,41.32
2005-01-20 18:00:00,169.0,39.88
2005-01-20 19:00:00,184.6,38.28
2005-01-20 20:00:00,186.1,38.08
2005-01-20 21:00:00,184.2,37.76
2005-01-20 22:00:00,178.4,36.96
2005-01-20 23:00:00,169.0,36.72
2005-01-21 00:00:00,157.9,36.24
2005-01-21 01:00:00,105.1,44.04
2005-01-21 02:00:00,149.6,35.2
2005-01-21 03:00:00,149.7,34.84
2005-01-21 04:00:00,108.4,42.24
2005-01-21 05:00:00,156.4,34.52
2005-01-21 06:00:00,167.3,33.96
2005-01-21 07:00:00,161.7,41.2
2005-01-21 08:00:00,162.2,41.6
2005-01-21 09:00:00,198.6,34.36
2005-01-21 10:00:00,143.9,44.24
2005-01-21 11:00:00,142.0,46.12
2005-01-21 12:00:00,182.9,37.64
2005-01-21 13:00:00,176.9,37.52
2005-01-21 14:00:00,169.9,37.36
2005-01-21 15:00:00,164.2,37.24
2005-01-21 16:00:00,109.2,51.36
2005-01-21 17:00:00,175.3,34.8
2005-01-21 18:00:00,156.9,46.4
2005-01-21 19:00:00,216.1,32.44
2005-01-21 20:00:00,177.3,44.88
2005-01-21 21:00:00,173.6,44.24
2005-01-21 22:00:00,215.4,30.24
2005-01-21 23:00:00,210.1,29.8
2005-01-22 00:00:00,136.0,43.88
2005-01-22 01:00:00,198.0,28.76
2005-01-22 02:00:00,122.7,41.44
2005-01-22 03:00:00,125.3,40.32
2005-01-22 04:00:00,194.0,28.8
2005-01-22 05:00:00,138.6,38.16
2005-01-22 06:00:00,155.2,37.52
2005-01-22 07:00:00,198.2,29.32
2005-01-22 08:00:00,181.8,37.88
2005-01-22 09:00:00,213.1,29.88
2005-01-22 10:00:00,217.4,30.6
2005-01-22 11:00:00,137.2,46.52
2005-01-22 12:00:00,130.2,48.16
2005-01-22 13:00:00,202.1,35.52
2005-01-22 14:00:00,193.4,36.96
2005-01-22 15:00:00,188.4,38.16
2005-01-22 16:00:00,185.1,39.64
2005-01-22 17:00:00,183.5,39.68
2005-01-22 18:00:00,189.7,40.04
2005-01-22 19:00:00,186.2,40.84
2005-01-22 20:00:00,188.2,39.44
2005-01-22 21:00:00,188.5,37.48
2005-01-22 22:00:00,182.8,36.64
2005-01-22 23:00:00,176.5,34.68
2005-01-23 00:00:00,168.4,33.0
2005-01-23 01:00:00,161.4,32.2
2005-01-23 02:00:00,162.7,31.6
2005-01-23 03:00:00,165.6,28.96
2005-01-23 04:00:00,173.2,27.24
2005-01-23 05:00:00,183.5,25.64
2005-01-23 06:00:00,198.1,23.92
2005-01-23 07:00:00,215.8,22.24
2005-01-23 08:00:00,238.7,21.04
2005-01-23 09:00:00,192.7,37.08
2005-01-23 10:00:00,181.2,40.36
2005-01-23 11:00:00,166.9,43.32
2005-01-23 12:00:00,153.8,45.48
2005-01-23 13:00:00,138.1,47.28
2005-01-23 14:00:00,127.6,47.96
2005-01-23 15:00:00,122.9,48.08
2005-01-23 16:00:00,129.5,47.04
2005-01-23 17:00:00,144.0,45.4
2005-01-23 18:00:00,165.2,44.4
2005-01-23 19:00:00,170.9,43.96
2005-01-23 20:00:00,169.3,44.6
2005-01-23 21:00:00,263.9,23.28
2005-01-23 22:00:00,160.8,45.04
2005-01-23 23:00:00,153.2,45.32
2005-01-24 00:00:00,238.6,20.36
2005-01-24 01:00:00,233.8,19.24
2005-01-24 02:00:00,234.4,18.36
2005-01-24 03:00:00,236.0,18.04
2005-01-24 04:00:00,239.3,17.4
2005-01-24 05:00:00,245.4,16.6
2005-01-24 06:00:00,114.4,53.08
2005-01-24 07:00:00,279.1,15.12
2005-01-24 08:00:00,126.3,54.64
2005-01-24 09:00:00,247.9,21.36
2005-01-24 10:00:00,139.6,58.88
2005-01-24 11:00:00,127.2,61.36
2005-01-24 12:00:00,116.6,63.28
2005-01-24 13:00:00,176.3,35.12
2005-01-24 14:00:00,107.5,65.52
2005-01-24 15:00:00,105.0,66.0
2005-01-24 16:00:00,103.2,65.28
2005-01-24 17:00:00,178.0,37.92
2005-01-24 18:00:00,204.0,36.56
2005-01-24 19:00:00,218.4,36.0
2005-01-24 20:00:00,218.3,35.16
2005-01-24 21:00:00,213.8,34.76
2005-01-24 22:00:00,204.6,34.08
2005-01-24 23:00:00,190.2,33.52
2005-01-25 00:00:00,103.3,53.88
2005-01-25 01:00:00,171.1,30.88
2005-01-25 02:00:00,170.7,30.72
2005-01-25 03:00:00,171.4,30.36
2005-01-25 04:00:00,174.6,29.72
2005-01-25 05:00:00,181.8,29.72
2005-01-25 06:00:00,196.2,29.76
2005-01-25 07:00:00,156.3,46.6
2005-01-25 08:00:00,223.5,29.28
2005-01-25 09:00:00,195.9,35.72
2005-01-25 10:00:00,173.0,40.16
2005-01-25 11:00:00,152.3,45.8
2005-01-25 12:00:00,140.0,45.24
2005-01-25 13:00:00,129.5,47.24
2005-01-25 14:00:00,149.7,45.6
2005-01-25 15:00:00,150.0,45.6
2005-01-25 16:00:00,152.5,44.6
2005-01-25 17:00:00,164.1,43.72
2005-01-25 18:00:00,180.9,43.48
2005-01-25 19:00:00,184.0,43.08
2005-01-25 20:00:00,188.1,39.56
2005-01-25 21:00:00,177.7,42.36
2005-01-25 22:00:00,168.7,41.48
2005-01-25 23:00:00,156.1,41.4
2005-01-26 00:00:00,144.4,40.76
2005-01-26 01:00:00,137.6,39.28
2005-01-26 02:00:00,154.6,34.6
2005-01-26 03:00:00,141.5,36.6
2005-01-26 04:00:00,155.5,36.72
2005-01-26 05:00:00,159.9,37.52
2005-01-26 06:00:00,168.2,34.12
2005-01-26 07:00:00,193.1,33.56
2005-01-26 08:00:00,189.1,41.76
2005-01-26 09:00:00,181.6,35.72
2005-01-26 10:00:00,169.6,37.56
2005-01-26 11:00:00,159.1,39.68
2005-01-26 12:00:00,151.6,41.24
2005-01-26 13:00:00,148.3,42.64
2005-01-26 14:00:00,110.3,58.24
2005-01-26 15:00:00,105.2,59.92
2005-01-26 16:00:00,106.4,60.04
2005-01-26 17:00:00,114.6,58.32
2005-01-26 18:00:00,195.0,37.48
2005-01-26 19:00:00,211.3,35.44
2005-01-26 20:00:00,215.4,33.84
2005-01-26 21:00:00,155.6,49.16
2005-01-26 22:00:00,151.8,48.48
2005-01-26 23:00:00,140.1,47.4
2005-01-27 00:00:00,129.1,46.36
2005-01-27 01:00:00,122.6,44.44
2005-01-27 02:00:00,122.7,43.32
2005-01-27 03:00:00,124.9,42.0
2005-01-27 04:00:00,184.1,28.0
2005-01-27 05:00:00,140.3,39.24
2005-01-27 06:00:00,205.3,27.88
2005-01-27 07:00:00,190.0,36.8
2005-01-27 08:00:00,220.9,28.6
2005-01-27 09:00:00,202.6,33.72
2005-01-27 10:00:00,183.9,37.16
2005-01-27 11:00:00,174.8,37.88
2005-01-27 12:00:00,169.5,38.76
2005-01-27 13:00:00,133.2,46.92
2005-01-27 14:00:00,160.4,40.2
2005-01-27 15:00:00,157.9,40.36
2005-01-27 16:00:00,162.4,39.64
2005-01-27 17:00:00,179.5,37.72
2005-01-27 18:00:00,210.3,34.6
2005-01-27 19:00:00,236.4,32.32
2005-01-27 20:00:00,242.1,31.12
2005-01-27 21:00:00,205.3,36.24
2005-01-27 22:00:00,238.4,28.84
2005-01-27 23:00:00,188.7,35.64
2005-01-28 00:00:00,175.6,35.64
2005-01-28 01:00:00,215.8,25.64
2005-01-28 02:00:00,215.0,24.76
2005-01-28 03:00:00,166.7,34.92
2005-01-28 04:00:00,221.3,23.04
2005-01-28 05:00:00,175.7,34.36
2005-01-28 06:00:00,190.3,34.0
2005-01-28 07:00:00,269.7,21.16
2005-01-28 08:00:00,215.7,33.24
2005-01-28 09:00:00,248.1,22.36
2005-01-28 10:00:00,189.7,35.56
2005-01-28 11:00:00,175.9,38.04
2005-01-28 12:00:00,163.1,39.08
2005-01-28 13:00:00,186.5,31.28
2005-01-28 14:00:00,145.3,40.36
2005-01-28 15:00:00,149.8,40.16
2005-01-28 16:00:00,159.6,39.72
